name,pearson_r,rmse
Ag_Gr_NS,0.9019948114965093,0.029272858053445816
Au_Gr_NS_NH3,0.9717631920988511,0.01463984977453947
B_Gr_NS,0.9735776103906645,0.014462623745203018
B_Gr_NS_NH3,0.9630178174630636,0.017326030880212784
B_Gr_NS_NO,0.9371256925597045,0.02435130812227726
B_Gr_NS_NO2,0.9369765832376951,0.02413167431950569
CH4,0.8739584513868036,0.04062608629465103
CO,0.8272710287794652,0.03838291019201279
CO2,0.6520524526270746,0.04960617423057556
Co_Gr_NS,0.838436450756384,0.037945427000522614
Co_Gr_NS_CO,0.8597260807195821,0.03235577791929245
Co_Gr_NS_NH3,0.8875588184476085,0.03109951876103878
Cr_Gr_NS,0.6012140650735459,0.09035009145736694
Cr_Gr_NS_CO,0.9156966191837278,0.03351404890418053
Cr_Gr_NS_NO,0.7547816331445277,0.04943488910794258
Cu_Gr_NS,0.9391356022422972,0.02237628772854805
Cu_Gr_NS_CO,0.9078254442108901,0.02671845071017742
Fe_Gr_NS,0.4459127609003829,0.10751362890005112
Fe_Gr_NS_CO,0.9391975104232135,0.025214847177267075
H2O,0.915465578162076,0.03072107955813408
H2S,0.008334470191294577,0.09081298112869263
Hf_Gr_NS,0.9455549357829847,0.02081708423793316
Ir_Gr_NS,0.9823971162449874,0.012683374807238579
Mn_Gr_NS,0.5373838109890704,0.09714300185441971
Mn_Gr_NS_CO,0.9367367611065369,0.022329118102788925
Mn_Gr_NS_NH3,0.8772936730894118,0.034901008009910583
MoS2_NS,0.911598101738114,0.023396337404847145
MoS2_NS_CO,0.9367523597948537,0.023082952946424484
MoS2_NS_H2S,0.017987887816287296,0.08532214909791946
MoS2_NS_NH3,0.9198134133529702,0.034255966544151306
MoS2_NS_NO,0.8405367404490603,0.04440503567457199
MoS2_NS_NO2,0.031952756256825185,0.08926792442798615
MoS2_NS_SO2,0.7794812565190118,0.04792476072907448
MoSe2_NS,-0.01684279878971835,0.0671982616186142
MoSe2_NS_H2S,-0.014199694676720886,0.08666134625673294
N_Gr_NS,0.8780746668019075,0.03689704090356827
N_Gr_NS_NO,0.9468241102969821,0.023328445851802826
N_Gr_NS_NO2,0.937634276492255,0.02757861092686653
NH3,-0.007519624383655682,0.08200595527887344
Ni_Gr_NS,0.6685850750551677,0.0634063184261322
NO,0.9433450151475188,0.024854278191924095
NO2,-0.010162029908963692,0.08928327262401581
Os_Gr_NS,0.30702478072805856,0.09207385778427124
Pd_Gr_NS,0.5991142782532259,0.07383802533149719
Pd_Gr_NS_CO,0.6591201353713951,0.07969830185174942
Pd_Gr_NS_NH3,0.6238777424582967,0.06502436101436615
Pd_Gr_NS_NO,0.6796129556405024,0.06267976015806198
Pt_Gr_NS,0.9492581902123426,0.02467975951731205
Pt_MoS2_NS,0.010623619810010428,0.0630587488412857
Pt_MoS2_NS_CO,0.7524161480485373,0.03787762671709061
Pt_MoS2_NS_H2S,0.11485670528842544,0.08570018410682678
Pt_MoS2_NS_NH3,0.7831617215691018,0.0561102032661438
Pt_MoS2_NS_NO,-0.015252378015984749,0.07501626014709473
Pt_MoS2_NS_NO2,-0.01675558410532397,0.0745740681886673
Pt_MoS2_NS_SO2,0.9147475212630504,0.03217046335339546
Pt_MoSe2_NS_H2S,-0.02741485167327038,0.08493170142173767
Pt_ZnO_NT,0.03424747410891882,0.08057471364736557
Pt_ZnO_NT_CO,-0.024960945299914303,0.06467391550540924
Pt_ZnO_NT_NH3,0.029869946128511033,0.07089311629533768
Re_Gr_NS,0.9828708646372388,0.011208324693143368
Rh_Gr_NS,0.9505788196269056,0.022122681140899658
Rh_Gr_NS_CO,0.9755009556200976,0.013408015482127666
Rh_Gr_NS_NH3,0.952341898611802,0.02136656641960144
Rh_Gr_NS_NO,0.159287243681988,0.13001325726509094
Rh_MoS2_NS,0.823956356164339,0.04069443419575691
Rh_MoS2_NS_CO,0.6840624525416354,0.03905303776264191
Rh_MoS2_NS_H2S,-0.04164226292558248,0.06479538977146149
Rh_MoS2_NS_NH3,0.11490025196747658,0.08171358704566956
Rh_MoS2_NS_NO,-0.024975659272823962,0.09429428726434708
Rh_MoS2_NS_NO2,0.8673446563546965,0.03846606984734535
Ru_Gr_NS,0.8131912152754709,0.049400344491004944
Sc_Gr_NS,0.8781407176556631,0.03147143870592117
SO2,-0.008542732126368986,0.0700748935341835
Ta_Gr_NS,0.6009960386914399,0.07957448065280914
TMA,0.7381447396855829,0.059392742812633514
V_Gr_NS,0.9777414642623924,0.014168177731335163
V_Gr_NS_NH3,0.9286982426930875,0.031510885804891586
Zn_Gr_NS,0.5205520798197792,0.09328436851501465
ZnO_NT,0.9338170178023874,0.021083101630210876
ZnO_NT_CO,0.8994967053213566,0.024566153064370155
ZnO_NT_NH3,0.868666661316108,0.07685282826423645
Zr_Gr_NS,0.7289032448635626,0.04362042248249054
